statecode,statename,distnew_1,nfhs1_districtname,districtcode_nfhs1,distnew_2,nfhs2_districtname,districtcode_nfhs2,state_nfhs5,name_nfhs5,distnew_4,nfhs4_districtname,districtcode_nfhs4,distnew_5,nfhs5_districtname,districtcode_nfhs5,state_sbm,district_sbm,,,,,,,,,,,,,,
2,andhra pradesh,1477,SRIKAKULAM,1,1477,SRIKAKULAM,1,126,andhra pradesh,1477,srikakulam,542,1477,srikakulam,542,ANDHRA PRADESH,SRIKAKULAM,,,,,,,,,,,,,,
2,andhra pradesh,1478,VIZIANAGARAM,2,1478,VIZIANAGARAM,2,126,andhra pradesh,1478,vizianagaram,543,1478,vizianagaram,543,ANDHRA PRADESH,VIZIANAGARAM,,,,,,,,,,,,,,
2,andhra pradesh,1479,VISAKHAPATNAM,3,1479,VISAKHAPATNAM,3,126,andhra pradesh,1479,visakhapatnam,544,1479,visakhapatnam,544,ANDHRA PRADESH,VISAKHAPATNAM,,,,,,,,,,,,,,
2,andhra pradesh,1480,EAST GODAVARI,4,1480,EAST GODAVARI,4,126,andhra pradesh,1480,east godavari,545,1480,east godavari,545,ANDHRA PRADESH,EAST GODAVARI,,,,,,,,,,,,,,
2,andhra pradesh,1481,WEST GODAVARI,5,1481,WEST GODAVARI,5,126,andhra pradesh,1481,west godavari,546,1481,west godavari,546,ANDHRA PRADESH,WEST GODAVARI,,,,,,,,,,,,,,
2,andhra pradesh,1482,KRISHNA,6,1482,KRISHNA,6,126,andhra pradesh,1482,krishna,547,1482,krishna,547,ANDHRA PRADESH,KRISHNA,,,,,,,,,,,,,,
2,andhra pradesh,1483,GUNTUR,7,1483,GUNTUR,7,126,andhra pradesh,1483,guntur,548,1483,guntur,548,ANDHRA PRADESH,GUNTUR,,,,,,,,,,,,,,
2,andhra pradesh,1484,PRAKASAM,8,1484,PRAKASAM,8,126,andhra pradesh,1484,prakasam,549,1484,prakasam,549,ANDHRA PRADESH,PRAKASAM,,,,,,,,,,,,,,
2,andhra pradesh,1485,NELLORE,9,1485,NELLORE,9,126,andhra pradesh,1485,sri potti sriramulu nellore,550,1485,sri potti sriram,550,ANDHRA PRADESH,NELLORE,,,,,,,,,,,,,,
2,andhra pradesh,1489,CHITTOOR,10,1489,CHITTOOR,10,126,andhra pradesh,1489,chittoor,554,1489,chittoor,554,ANDHRA PRADESH,CHITTOOR,,,,,,,,,,,,,,
2,andhra pradesh,1486,CUDDAPAH,11,1486,CUDDAPAH,11,126,andhra pradesh,1486,y.s.r.,551,1486,y.s.r.,551,ANDHRA PRADESH,CUDDAPAH,,,,,,,,,,,,,,
2,andhra pradesh,1488,ANANTAPUR,12,1488,ANANTAPUR,12,126,andhra pradesh,1488,anantapur,553,1488,anantapur,553,ANDHRA PRADESH,ANANTAPUR,,,,,,,,,,,,,,
2,andhra pradesh,1487,KURNOOL,13,1487,KURNOOL,13,126,andhra pradesh,1487,kurnool,552,1487,kurnool,552,ANDHRA PRADESH,KURNOOL,,,,,,,,,,,,,,
2,andhra pradesh,1634,MAHBUBNAGAR,14,1634,MAHBUBNAGAR,14,134,telangana,1634,mahbubnagar,538,1634,jogulamba gadwal,889,TELANGANA,JOGULAMBA GADWAL,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1634,nagarkurnool,899,TELANGANA,NAGARKURNOOL,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1634,wanaparthy,910,TELANGANA,WANAPARTHY,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1634,mahabubnagar,895,TELANGANA,MAHBUBNAGAR,,,,,,,,,,,,,,
2,andhra pradesh,,,,1630,RANGAREDDY,15,134,telangana,1630,rangareddy,537,1630,medchal-malkajgi,898,TELANGANA,MEDCHAL,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1630,vikarabad,909,TELANGANA,VIKARABAD,,,,,,,,,,,,,,
,,,,,,,,134,telangana,,,,1630,ranga reddy,905,TELANGANA,RANGAREDDI,,,,,,,,,,,,,,
2,andhra pradesh,1631,HYDERABAD,16,1631,HYDERABAD,16,134,telangana,1631,hyderabad,536,1631,hyderabad,885,TELANGANA,0,,,,,,,,,,,,,,
